Region,const,alpha,r2,Model,Gdp_per_capita_growth_coeff,Gdp_times_capita_growth_coeff,Gdp_growth_coeff,Population_growth_coeff,Economy
Low_density,0.0177713522084493,0.001,0.1791499697825395,lasso,0.0,0.0037689809553751,0.0037466737855213,0.0,01_AUS
Low_density,0.0177713522084493,0.001,0.1791499697825395,lasso,0.0,0.0037689809553751,0.0037466737855213,0.0,03_CDA
Low_density,0.0177713522084493,0.001,0.1791499697825395,lasso,0.0,0.0037689809553751,0.0037466737855213,0.0,12_NZ
Low_density,0.0177713522084493,0.001,0.1791499697825395,lasso,0.0,0.0037689809553751,0.0037466737855213,0.0,13_PNG
Low_density,0.0177713522084493,0.001,0.1791499697825395,lasso,0.0,0.0037689809553751,0.0037466737855213,0.0,16_RUS
Low_density,0.0177713522084493,0.001,0.1791499697825395,lasso,0.0,0.0037689809553751,0.0037466737855213,0.0,20_USA
City,0.0144162749828406,0.01,0.0336682471400053,lasso,0.0,0.0034455106889209,0.0,0.0,02_BD
City,0.0144162749828406,0.01,0.0336682471400053,lasso,0.0,0.0034455106889209,0.0,0.0,06_HKC
City,0.0144162749828406,0.01,0.0336682471400053,lasso,0.0,0.0034455106889209,0.0,0.0,17_SIN
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,04_CHL
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,07_INA
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,10_MAS
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,11_MEX
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,14_PE
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,15_RP
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,18_CT
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,19_THA
Developing_high_density,0.0447745024585878,0.001,0.174309151085038,lasso,0.0,0.0212183758837517,0.0,0.0015531242588369,21_VN
Developed_high_density,0.0383026202501751,0.001,0.5076993623132661,lasso,0.0198421257647439,0.0089465440651934,0.0030024652488542,0.0070062151260469,05_PRC
Developed_high_density,0.0383026202501751,0.001,0.5076993623132661,lasso,0.0198421257647439,0.0089465440651934,0.0030024652488542,0.0070062151260469,08_JPN
Developed_high_density,0.0383026202501751,0.001,0.5076993623132661,lasso,0.0198421257647439,0.0089465440651934,0.0030024652488542,0.0070062151260469,09_ROK
